id_1,prediction,target,molar,Gravimetric Capacticy(mAh/g),Gravimetric Energy(Wh/kg)
Na1Ni0.83Cu0.08Ti0.08O2,3.028899,3.10566,112.61713,237.9867866,739.1060438
Na1Ni0.83Mg0.08Mn0.08O2,3.0878603,3.165043,110.04353,243.5526095,770.8544818
Na1Ni0.83Mg0.08Nb0.08O2,3.1975613,3.2755961,113.081,237.0105401,776.3508009
Na1Ni0.83Nb0.08Fe0.08O2,3.2290215,3.1508145,115.6042,231.8375015,730.4769613
Na1Ni0.58Al0.17Cr0.25O2,3.2819943,3.3602786,106.61663,251.3809421,844.7100001
Na1Ni0.75Fe0.08Ti0.17O2,3.402269,3.482108,111.61361,240.1265302,836.1465117
Na1Ni0.83Cu0.08Fe0.08O2,3.1942124,3.1125107,113.25537,236.6456345,736.5620693
Na1Ni0.83Mg0.08Fe0.08O2,3.119972,3.2024057,110.11609,243.3921227,779.4403211
Na1Ni0.83Mo0.08Fe0.08O2,3.2290266,3.1461425,115.84689,231.3518204,727.8657946
Na1Ni0.83Nb0.08Mn0.08O2,3.1472056,3.2302487,115.53165,231.9830877,749.3630673
Na1Ni0.75Mo0.08Mn0.17O2,3.0863578,3.0022871,116.02329,231.0000767,693.5285504
Na1Ni0.75Cu0.08Mn0.17O2,3.0728223,3.160002,113.43177,236.2776221,746.6377585
Na1Ni0.83Al0.08Fe0.08O2,3.1363714,3.0481694,110.33021,242.9197668,740.4605999
Na1Ni0.83Cr0.08Mn0.08O2,3.2370584,3.1485052,112.25882,238.7463977,751.6942747
Na1Ni0.83Ti0.08Mn0.08O2,3.1555688,3.0665743,111.92849,239.4510003,734.2942835
Na1Ni0.75Fe0.08Mo0.17O2,3.3250954,3.2335052,119.78602,223.74388,723.4769996
Na1Ni0.83Mo0.08Cr0.08O2,3.2608745,3.1668327,115.53898,231.9683702,734.6050202
Na1Ni0.58Mn0.08Ti0.33O2,2.909305,2.814982,109.22189,245.3847749,690.7537243
Na1Ni0.83Al0.08Zn0.08O2,3.0586874,3.1538284,111.09533,241.2467643,760.8508966
Na1Ni0.75Zn0.08V0.17O2,3.2431035,3.1447713,112.90139,237.3875901,746.5296803
Na1Ni0.83Ti0.08V0.08O2,3.1601307,3.2587812,111.60877,240.1369434,782.5537567
Na1Ni0.83V0.08Cr0.08O2,3.260496,3.158513,111.9391,239.4283042,756.2374114
Na1Ni0.83Mg0.08V0.08O2,3.1335988,3.2373822,109.72381,244.2622881,790.7703836
Na1Ni0.83Ti0.08Cr0.08O2,3.2375283,3.1261604,111.69314,239.9555504,750.1395395
Na1Ni0.83Mg0.08Cr0.08O2,3.1399167,3.253267,109.80818,244.0746116,794.0398796
Na1Ni0.75Zn0.08Mn0.17O2,3.115159,3.2285635,113.58081,235.9675802,761.8363165
Na1Ni0.58Mn0.08V0.33O2,3.194942,3.0783653,110.23648,243.1263125,748.431604
Na1Ni0.75Mo0.08Fe0.17O2,3.253353,3.1366227,116.17747,230.6935147,723.5985151
Na1Ni0.75Cu0.08Nb0.17O2,2.9918988,3.116214,119.88638,223.5565782,696.6501389
Na1Ni0.58V0.08Ti0.33O2,2.9688897,2.8398592,108.90217,246.1051868,698.9040789
Na1Ni0.75V0.08Ti0.17O2,3.1559277,3.0263197,111.22133,240.9734616,729.2627339
Na1Ni0.75V0.08Fe0.17O2,3.1978893,3.0656443,112.57759,238.0703734,729.8390832
Na1Ni0.75Ti0.08Mn0.17O2,2.947812,3.0801337,112.17745,238.9195769,735.9042403
Na1Ni0.75Mn0.08Nb0.17O2,3.0030797,3.1366227,119.19775,224.8481107,705.2636881
Na1Ni0.83V0.08Fe0.08O2,3.2753124,3.1390588,112.24701,238.7715173,749.5178325
Na1Ni0.75V0.08Nb0.17O2,2.7833211,2.9200768,118.87802,225.452854,658.3396485
Na1Ni0.58Mg0.08Cu0.33O2,3.8284402,3.6912384,111.94532,239.4150009,883.7378449
